Column1,road_code,road_name,serial_number,si_do
80965,3.01104E+11,갱이7길,0,대전광역시
80966,3.01104E+11,갱이7길,1,대전광역시
80967,3.01104E+11,갱이길,0,대전광역시
80968,3.01104E+11,갱이길,1,대전광역시
80969,3.01104E+11,계족로140번길,0,대전광역시
80970,3.01104E+11,계족로140번길,1,대전광역시
80971,3.01104E+11,계족로140번길,2,대전광역시
80972,3.01104E+11,계족로328번길,0,대전광역시
80973,3.01104E+11,계족로328번길,1,대전광역시
80974,3.01104E+11,계족로330번길,0,대전광역시
80975,3.01104E+11,계족로330번길,1,대전광역시
80976,3.01104E+11,계족로336번길,0,대전광역시
80977,3.01104E+11,계족로336번길,1,대전광역시
80978,3.01104E+11,계족로358번길,0,대전광역시
80979,3.01104E+11,계족로358번길,1,대전광역시
80980,3.01104E+11,계족로358번길,2,대전광역시
80981,3.01104E+11,계족로362번길,0,대전광역시
80982,3.01104E+11,계족로362번길,1,대전광역시
80983,3.01104E+11,계족로362번길,2,대전광역시
80984,3.01104E+11,계족로368번길,0,대전광역시
80985,3.01104E+11,계족로368번길,1,대전광역시
80986,3.01104E+11,계족로368번길,2,대전광역시
80987,3.01104E+11,계족로369번길,0,대전광역시
80988,3.01104E+11,계족로369번길,1,대전광역시
80989,3.01104E+11,계족로382번길,0,대전광역시
80990,3.01104E+11,계족로382번길,1,대전광역시
80991,3.01104E+11,계족로382번길,2,대전광역시
80992,3.01104E+11,계족로391번길,0,대전광역시
80993,3.01104E+11,계족로391번길,1,대전광역시
80994,3.01104E+11,계족로392번길,0,대전광역시
80995,3.01104E+11,계족로392번길,1,대전광역시
80996,3.01104E+11,계족로392번길,2,대전광역시
80997,3.01104E+11,계족로409번길,0,대전광역시
80998,3.01104E+11,계족로409번길,1,대전광역시
80999,3.01104E+11,계족로417번길,0,대전광역시
81000,3.01104E+11,계족로417번길,1,대전광역시
81001,3.01104E+11,계족로418번길,0,대전광역시
81002,3.01104E+11,계족로418번길,1,대전광역시
81003,3.01104E+11,계족로423번길,0,대전광역시
81004,3.01104E+11,계족로423번길,1,대전광역시
81005,3.01104E+11,계족로423번길,2,대전광역시
81006,3.01104E+11,계족로424번길,0,대전광역시
81007,3.01104E+11,계족로424번길,1,대전광역시
81008,3.01104E+11,계족로431번길,0,대전광역시
81009,3.01104E+11,계족로431번길,1,대전광역시
81010,3.01104E+11,계족로432번길,0,대전광역시
81011,3.01104E+11,계족로432번길,1,대전광역시
81012,3.01104E+11,계족로437번길,0,대전광역시
81013,3.01104E+11,계족로437번길,1,대전광역시
81014,3.01104E+11,계족로438번길,0,대전광역시
81015,3.01104E+11,계족로438번길,1,대전광역시
81016,3.01104E+11,계족로443번길,0,대전광역시
81017,3.01104E+11,계족로443번길,1,대전광역시
81018,3.01104E+11,계족로446번길,0,대전광역시
81019,3.01104E+11,계족로446번길,1,대전광역시
81020,3.01104E+11,계족로450번길,0,대전광역시
81021,3.01104E+11,계족로450번길,1,대전광역시
81022,3.01104E+11,계족로451번길,0,대전광역시
81023,3.01104E+11,계족로451번길,1,대전광역시
81024,3.01104E+11,계족로457번길,0,대전광역시
81025,3.01104E+11,계족로457번길,1,대전광역시
81026,3.01104E+11,계족로463번길,0,대전광역시
81027,3.01104E+11,계족로463번길,1,대전광역시
81028,3.01104E+11,계족로464번길,0,대전광역시
81029,3.01104E+11,계족로464번길,1,대전광역시
81030,3.01104E+11,계족로469번길,0,대전광역시
81031,3.01104E+11,계족로469번길,1,대전광역시
81032,3.01104E+11,계족로470번길,0,대전광역시
81033,3.01104E+11,계족로470번길,1,대전광역시
81034,3.01104E+11,계족로475번길,0,대전광역시
81035,3.01104E+11,계족로475번길,1,대전광역시
81036,3.01104E+11,계족로476번길,0,대전광역시
81037,3.01104E+11,계족로476번길,1,대전광역시
81038,3.01104E+11,계족로483번길,0,대전광역시
81039,3.01104E+11,계족로483번길,1,대전광역시
81040,3.01104E+11,계족로489번길,0,대전광역시
81041,3.01104E+11,계족로489번길,1,대전광역시
81042,3.01104E+11,계족로490번길,0,대전광역시
81043,3.01104E+11,계족로490번길,1,대전광역시
81044,3.01104E+11,계족로505번길,0,대전광역시
81045,3.01104E+11,계족로505번길,1,대전광역시
81046,3.01104E+11,계족로511번길,0,대전광역시
81047,3.01104E+11,계족로511번길,1,대전광역시
81048,3.01104E+11,계족로512번길,0,대전광역시
81049,3.01104E+11,계족로512번길,1,대전광역시
81050,3.01104E+11,계족로517번길,0,대전광역시
81051,3.01104E+11,계족로517번길,1,대전광역시
81052,3.01104E+11,계족로51번길,0,대전광역시
81053,3.01104E+11,계족로51번길,1,대전광역시
81054,3.01104E+11,계족로521번길,0,대전광역시
81055,3.01104E+11,계족로521번길,1,대전광역시
81056,3.01104E+11,고니1길,0,대전광역시
81057,3.01104E+11,고니1길,1,대전광역시
81058,3.01104E+11,고니2길,0,대전광역시
81059,3.01104E+11,고니2길,1,대전광역시
81060,3.01104E+11,고니3길,0,대전광역시
81061,3.01104E+11,고니3길,1,대전광역시
81062,3.01104E+11,고니4길,0,대전광역시
81063,3.01104E+11,고니4길,1,대전광역시
81064,3.01104E+11,고니5길,0,대전광역시
81065,3.01104E+11,고니5길,1,대전광역시
81066,3.01104E+11,고니6길,0,대전광역시
81067,3.01104E+11,고니6길,1,대전광역시
81068,3.01104E+11,고니6길,2,대전광역시
81069,3.01104E+11,고니길,0,대전광역시
81070,3.01104E+11,고니길,1,대전광역시
81071,3.01104E+11,고니길,2,대전광역시
81072,3.01104E+11,광명1길,0,대전광역시
81073,3.01104E+11,광명1길,1,대전광역시
81074,3.01104E+11,광명2길,0,대전광역시
81075,3.01104E+11,광명2길,1,대전광역시
81076,3.01104E+11,광명3길,0,대전광역시
81077,3.01104E+11,광명3길,1,대전광역시
81078,3.01104E+11,광명3길,2,대전광역시
81079,3.01104E+11,광명4길,0,대전광역시
81080,3.01104E+11,광명4길,1,대전광역시
81081,3.01104E+11,광명4길,2,대전광역시
81082,3.01104E+11,광명5길,0,대전광역시
81083,3.01104E+11,광명5길,1,대전광역시
81084,3.01104E+11,광명5길,2,대전광역시
81085,3.01104E+11,광명길,0,대전광역시
81086,3.01104E+11,광명길,1,대전광역시
81087,3.01104E+11,광명길,2,대전광역시
81088,3.01104E+11,광명길,3,대전광역시
81089,3.01104E+11,광명길,4,대전광역시
81090,3.01104E+11,기쁨1길,0,대전광역시
81091,3.01104E+11,기쁨1길,1,대전광역시
81092,3.01104E+11,기쁨2길,0,대전광역시
81093,3.01104E+11,기쁨2길,1,대전광역시
81094,3.01104E+11,냉천로152번길,0,대전광역시
81095,3.01104E+11,냉천로152번길,1,대전광역시
81096,3.01104E+11,냉천로707번길,0,대전광역시
81097,3.01104E+11,냉천로707번길,1,대전광역시
81098,3.01104E+11,너더리1길,0,대전광역시
81099,3.01104E+11,너더리1길,1,대전광역시
81100,3.01104E+11,너더리2길,0,대전광역시
81101,3.01104E+11,너더리2길,1,대전광역시
81102,3.01104E+11,너더리3길,0,대전광역시
81103,3.01104E+11,너더리3길,1,대전광역시
81104,3.01104E+11,늘들길,0,대전광역시
81105,3.01104E+11,늘들길,1,대전광역시
81106,3.01104E+11,다복1길,0,대전광역시
81107,3.01104E+11,다복1길,1,대전광역시
81108,3.01104E+11,다복1길,2,대전광역시
81109,3.01104E+11,다복2길,0,대전광역시
81110,3.01104E+11,다복2길,1,대전광역시
81111,3.01104E+11,다복3길,0,대전광역시
81112,3.01104E+11,다복3길,1,대전광역시
81113,3.01104E+11,달기장1길,0,대전광역시
81114,3.01104E+11,달기장1길,1,대전광역시
81115,3.01104E+11,달기장1길,2,대전광역시
81116,3.01104E+11,달기장2길,0,대전광역시
81117,3.01104E+11,달기장2길,1,대전광역시
81118,3.01104E+11,달기장3길,0,대전광역시
81119,3.01104E+11,달기장3길,1,대전광역시
81120,3.01104E+11,대동로20번길,0,대전광역시
81121,3.01104E+11,대동로20번길,1,대전광역시
81122,3.01104E+11,대동천우안1길,0,대전광역시
81123,3.01104E+11,대동천우안1길,1,대전광역시
81124,3.01104E+11,대동천우안1길,2,대전광역시
81125,3.01104E+11,대동천우안2길,0,대전광역시
81126,3.01104E+11,대동천우안2길,1,대전광역시
81127,3.01104E+11,대동천우안3길,0,대전광역시
81128,3.01104E+11,대동천우안3길,1,대전광역시
81129,3.01104E+11,대동천우안4길,0,대전광역시
81130,3.01104E+11,대동천우안4길,1,대전광역시
81131,3.01104E+11,대동천우안4길,2,대전광역시
81132,3.01104E+11,대동천우안5길,0,대전광역시
81133,3.01104E+11,대동천우안5길,1,대전광역시
81134,3.01104E+11,대동천우안5길,2,대전광역시
81135,3.01104E+11,대동천우안5길,3,대전광역시
81136,3.01104E+11,대동천좌안4길,0,대전광역시
81137,3.01104E+11,대동천좌안4길,1,대전광역시
81138,3.01104E+11,대동천좌안4길,2,대전광역시
81139,3.01104E+11,대동천좌안4길,3,대전광역시
81140,3.01104E+11,대동천좌안5길,0,대전광역시
81141,3.01104E+11,대동천좌안5길,1,대전광역시
81142,3.01104E+11,대동천좌안5길,2,대전광역시
81143,3.01104E+11,대동초등1길,0,대전광역시
81144,3.01104E+11,대동초등1길,1,대전광역시
81145,3.01104E+11,대동초등2길,0,대전광역시
81146,3.01104E+11,대동초등2길,1,대전광역시
81147,3.01104E+11,대동초등3길,0,대전광역시
81148,3.01104E+11,대동초등3길,1,대전광역시
81149,3.01104E+11,대동초등4길,0,대전광역시
81150,3.01104E+11,대동초등4길,1,대전광역시
81151,3.01104E+11,대동초등5길,0,대전광역시
81152,3.01104E+11,대동초등5길,1,대전광역시
81153,3.01104E+11,대봉1길,0,대전광역시
81154,3.01104E+11,대봉1길,1,대전광역시
81155,3.01104E+11,대봉1길,2,대전광역시
81156,3.01104E+11,대봉2길,0,대전광역시
81157,3.01104E+11,대봉2길,1,대전광역시
81158,3.01104E+11,대봉길,0,대전광역시
81159,3.01104E+11,대봉길,1,대전광역시
81160,3.01104E+11,대봉길,2,대전광역시
81161,3.01104E+11,대성1길,0,대전광역시
81162,3.01104E+11,대성1길,1,대전광역시
81163,3.01104E+11,대성2길,0,대전광역시
81164,3.01104E+11,대성2길,1,대전광역시
81165,3.01104E+11,대성2길,2,대전광역시
81166,3.01104E+11,대성길,0,대전광역시
81167,3.01104E+11,대성길,1,대전광역시
81168,3.01104E+11,대송길,0,대전광역시
81169,3.01104E+11,대송길,1,대전광역시
81170,3.01104E+11,대송길,2,대전광역시
81171,3.01104E+11,대자양3길,0,대전광역시
81172,3.01104E+11,대자양3길,1,대전광역시
81173,3.01104E+11,대자양3길,2,대전광역시
81174,3.01104E+11,대자양4길,0,대전광역시
81175,3.01104E+11,대자양4길,1,대전광역시
81176,3.01104E+11,대자양5길,0,대전광역시
81177,3.01104E+11,대자양5길,1,대전광역시
81178,3.01104E+11,대자양5길,2,대전광역시
81179,3.01104E+11,대전로1002번길,0,대전광역시
81180,3.01104E+11,대전로1002번길,1,대전광역시
81181,3.01104E+11,대전로1020번길,0,대전광역시
81182,3.01104E+11,대전로1020번길,1,대전광역시
81183,3.01104E+11,대전로304번길,0,대전광역시
81184,3.01104E+11,대전로304번길,1,대전광역시
81185,3.01104E+11,대전로316번길,0,대전광역시
81186,3.01104E+11,대전로316번길,1,대전광역시
81187,3.01104E+11,대전로340번길,0,대전광역시
81188,3.01104E+11,대전로340번길,1,대전광역시
81189,3.01104E+11,대전로448번길,0,대전광역시
81190,3.01104E+11,대전로448번길,1,대전광역시
81191,3.01104E+11,대전로470번길,0,대전광역시
81192,3.01104E+11,대전로470번길,1,대전광역시
81193,3.01104E+11,대전로472번길,0,대전광역시
81194,3.01104E+11,대전로472번길,1,대전광역시
81195,3.01104E+11,대전로542번길,0,대전광역시
81196,3.01104E+11,대전로542번길,1,대전광역시
81197,3.01104E+11,대전로542번길,2,대전광역시
81198,3.01104E+11,대전로779번길,0,대전광역시
81199,3.01104E+11,대전로779번길,1,대전광역시
81200,3.01104E+11,대전로785번길,0,대전광역시
81201,3.01104E+11,대전로785번길,1,대전광역시
81202,3.01104E+11,대전로785번길,2,대전광역시
81203,3.01104E+11,대전로791번길,0,대전광역시
81204,3.01104E+11,대전로791번길,1,대전광역시
81205,3.01104E+11,대전로797번길,0,대전광역시
81206,3.01104E+11,대전로797번길,1,대전광역시
81207,3.01104E+11,대전로807번길,0,대전광역시
81208,3.01104E+11,대전로807번길,1,대전광역시
81209,3.01104E+11,대전로807번길,2,대전광역시
81210,3.01104E+11,대전로813번길,0,대전광역시
81211,3.01104E+11,대전로813번길,1,대전광역시
81212,3.01104E+11,대전로813번길,2,대전광역시
81213,3.01104E+11,대전로815번길,0,대전광역시
81214,3.01104E+11,대전로815번길,1,대전광역시
81215,3.01104E+11,대전로815번길,2,대전광역시
81216,3.01104E+11,대전로825번길,0,대전광역시
81217,3.01104E+11,대전로825번길,1,대전광역시
81218,3.01104E+11,대전로825번길,2,대전광역시
81219,3.01104E+11,대전로839번길,0,대전광역시
81220,3.01104E+11,대전로839번길,1,대전광역시
81221,3.01104E+11,대전로839번길,2,대전광역시
81222,3.01104E+11,대전로867번길,0,대전광역시
81223,3.01104E+11,대전로867번길,1,대전광역시
81224,3.01104E+11,대전로900번길,0,대전광역시
81225,3.01104E+11,대전로900번길,1,대전광역시
81226,3.01104E+11,대전로906번길,0,대전광역시
81227,3.01104E+11,대전로906번길,1,대전광역시
81228,3.01104E+11,대전로983번길,0,대전광역시
81229,3.01104E+11,대전로983번길,1,대전광역시
81230,3.01104E+11,대전로987번길,0,대전광역시
81231,3.01104E+11,대전로987번길,1,대전광역시
81232,3.01104E+11,대전로994번길,0,대전광역시
81233,3.01104E+11,대전로994번길,1,대전광역시
81234,3.01104E+11,대전로994번길,2,대전광역시
81235,3.01104E+11,대전여고1길,0,대전광역시
81236,3.01104E+11,대전여고1길,1,대전광역시
81237,3.01104E+11,대전여고2길,0,대전광역시
81238,3.01104E+11,대전여고2길,1,대전광역시
