,road_code,road_name,serial_number,si_do
80957,301104000000.0,갱이3길,0,대전광역시
80958,301104000000.0,갱이3길,1,대전광역시
80959,301104000000.0,갱이4길,0,대전광역시
80960,301104000000.0,갱이4길,1,대전광역시
80961,301104000000.0,갱이5길,0,대전광역시
80962,301104000000.0,갱이5길,1,대전광역시
80963,301104000000.0,갱이6길,0,대전광역시
80964,301104000000.0,갱이6길,1,대전광역시
80965,301104000000.0,갱이7길,0,대전광역시
80966,301104000000.0,갱이7길,1,대전광역시
80967,301104000000.0,갱이길,0,대전광역시
80968,301104000000.0,갱이길,1,대전광역시
80969,301104000000.0,계족로140번길,0,대전광역시
80970,301104000000.0,계족로140번길,1,대전광역시
80971,301104000000.0,계족로140번길,2,대전광역시
80972,301104000000.0,계족로328번길,0,대전광역시
80973,301104000000.0,계족로328번길,1,대전광역시
80974,301104000000.0,계족로330번길,0,대전광역시
80975,301104000000.0,계족로330번길,1,대전광역시
80976,301104000000.0,계족로336번길,0,대전광역시
80977,301104000000.0,계족로336번길,1,대전광역시
80978,301104000000.0,계족로358번길,0,대전광역시
80979,301104000000.0,계족로358번길,1,대전광역시
80980,301104000000.0,계족로358번길,2,대전광역시
80981,301104000000.0,계족로362번길,0,대전광역시
80982,301104000000.0,계족로362번길,1,대전광역시
80983,301104000000.0,계족로362번길,2,대전광역시
80984,301104000000.0,계족로368번길,0,대전광역시
80985,301104000000.0,계족로368번길,1,대전광역시
80986,301104000000.0,계족로368번길,2,대전광역시
80987,301104000000.0,계족로369번길,0,대전광역시
80988,301104000000.0,계족로369번길,1,대전광역시
80989,301104000000.0,계족로382번길,0,대전광역시
80990,301104000000.0,계족로382번길,1,대전광역시
80991,301104000000.0,계족로382번길,2,대전광역시
80992,301104000000.0,계족로391번길,0,대전광역시
80993,301104000000.0,계족로391번길,1,대전광역시
80994,301104000000.0,계족로392번길,0,대전광역시
80995,301104000000.0,계족로392번길,1,대전광역시
80996,301104000000.0,계족로392번길,2,대전광역시
80997,301104000000.0,계족로409번길,0,대전광역시
80998,301104000000.0,계족로409번길,1,대전광역시
80999,301104000000.0,계족로417번길,0,대전광역시
81000,301104000000.0,계족로417번길,1,대전광역시
81001,301104000000.0,계족로418번길,0,대전광역시
81002,301104000000.0,계족로418번길,1,대전광역시
81003,301104000000.0,계족로423번길,0,대전광역시
81004,301104000000.0,계족로423번길,1,대전광역시
81005,301104000000.0,계족로423번길,2,대전광역시
81006,301104000000.0,계족로424번길,0,대전광역시
81007,301104000000.0,계족로424번길,1,대전광역시
81008,301104000000.0,계족로431번길,0,대전광역시
81009,301104000000.0,계족로431번길,1,대전광역시
81010,301104000000.0,계족로432번길,0,대전광역시
81011,301104000000.0,계족로432번길,1,대전광역시
81012,301104000000.0,계족로437번길,0,대전광역시
81013,301104000000.0,계족로437번길,1,대전광역시
81014,301104000000.0,계족로438번길,0,대전광역시
81015,301104000000.0,계족로438번길,1,대전광역시
81016,301104000000.0,계족로443번길,0,대전광역시
81017,301104000000.0,계족로443번길,1,대전광역시
81018,301104000000.0,계족로446번길,0,대전광역시
81019,301104000000.0,계족로446번길,1,대전광역시
81020,301104000000.0,계족로450번길,0,대전광역시
81021,301104000000.0,계족로450번길,1,대전광역시
81022,301104000000.0,계족로451번길,0,대전광역시
81023,301104000000.0,계족로451번길,1,대전광역시
81024,301104000000.0,계족로457번길,0,대전광역시
81025,301104000000.0,계족로457번길,1,대전광역시
81026,301104000000.0,계족로463번길,0,대전광역시
81027,301104000000.0,계족로463번길,1,대전광역시
81028,301104000000.0,계족로464번길,0,대전광역시
81029,301104000000.0,계족로464번길,1,대전광역시
81030,301104000000.0,계족로469번길,0,대전광역시
81031,301104000000.0,계족로469번길,1,대전광역시
81032,301104000000.0,계족로470번길,0,대전광역시
81033,301104000000.0,계족로470번길,1,대전광역시
81034,301104000000.0,계족로475번길,0,대전광역시
81035,301104000000.0,계족로475번길,1,대전광역시
81036,301104000000.0,계족로476번길,0,대전광역시
81037,301104000000.0,계족로476번길,1,대전광역시
81038,301104000000.0,계족로483번길,0,대전광역시
81039,301104000000.0,계족로483번길,1,대전광역시
81040,301104000000.0,계족로489번길,0,대전광역시
81041,301104000000.0,계족로489번길,1,대전광역시
81042,301104000000.0,계족로490번길,0,대전광역시
81043,301104000000.0,계족로490번길,1,대전광역시
81044,301104000000.0,계족로505번길,0,대전광역시
81045,301104000000.0,계족로505번길,1,대전광역시
81046,301104000000.0,계족로511번길,0,대전광역시
81047,301104000000.0,계족로511번길,1,대전광역시
81048,301104000000.0,계족로512번길,0,대전광역시
81049,301104000000.0,계족로512번길,1,대전광역시
81050,301104000000.0,계족로517번길,0,대전광역시
81051,301104000000.0,계족로517번길,1,대전광역시
81052,301104000000.0,계족로51번길,0,대전광역시
81053,301104000000.0,계족로51번길,1,대전광역시
81054,301104000000.0,계족로521번길,0,대전광역시
81055,301104000000.0,계족로521번길,1,대전광역시
81056,301104000000.0,고니1길,0,대전광역시
81057,301104000000.0,고니1길,1,대전광역시
81058,301104000000.0,고니2길,0,대전광역시
81059,301104000000.0,고니2길,1,대전광역시
81060,301104000000.0,고니3길,0,대전광역시
81061,301104000000.0,고니3길,1,대전광역시
81062,301104000000.0,고니4길,0,대전광역시
81063,301104000000.0,고니4길,1,대전광역시
81064,301104000000.0,고니5길,0,대전광역시
81065,301104000000.0,고니5길,1,대전광역시
81066,301104000000.0,고니6길,0,대전광역시
81067,301104000000.0,고니6길,1,대전광역시
81068,301104000000.0,고니6길,2,대전광역시
81069,301104000000.0,고니길,0,대전광역시
81070,301104000000.0,고니길,1,대전광역시
81071,301104000000.0,고니길,2,대전광역시
81072,301104000000.0,광명1길,0,대전광역시
81073,301104000000.0,광명1길,1,대전광역시
81074,301104000000.0,광명2길,0,대전광역시
81075,301104000000.0,광명2길,1,대전광역시
81076,301104000000.0,광명3길,0,대전광역시
81077,301104000000.0,광명3길,1,대전광역시
81078,301104000000.0,광명3길,2,대전광역시
81079,301104000000.0,광명4길,0,대전광역시
81080,301104000000.0,광명4길,1,대전광역시
81081,301104000000.0,광명4길,2,대전광역시
81082,301104000000.0,광명5길,0,대전광역시
81083,301104000000.0,광명5길,1,대전광역시
81084,301104000000.0,광명5길,2,대전광역시
81085,301104000000.0,광명길,0,대전광역시
81086,301104000000.0,광명길,1,대전광역시
81087,301104000000.0,광명길,2,대전광역시
81088,301104000000.0,광명길,3,대전광역시
81089,301104000000.0,광명길,4,대전광역시
81090,301104000000.0,기쁨1길,0,대전광역시
81091,301104000000.0,기쁨1길,1,대전광역시
81092,301104000000.0,기쁨2길,0,대전광역시
81093,301104000000.0,기쁨2길,1,대전광역시
81094,301104000000.0,냉천로152번길,0,대전광역시
81095,301104000000.0,냉천로152번길,1,대전광역시
81096,301104000000.0,냉천로707번길,0,대전광역시
81097,301104000000.0,냉천로707번길,1,대전광역시
81098,301104000000.0,너더리1길,0,대전광역시
81099,301104000000.0,너더리1길,1,대전광역시
81100,301104000000.0,너더리2길,0,대전광역시
81101,301104000000.0,너더리2길,1,대전광역시
81102,301104000000.0,너더리3길,0,대전광역시
81103,301104000000.0,너더리3길,1,대전광역시
81104,301104000000.0,늘들길,0,대전광역시
81105,301104000000.0,늘들길,1,대전광역시
81106,301104000000.0,다복1길,0,대전광역시
81107,301104000000.0,다복1길,1,대전광역시
81108,301104000000.0,다복1길,2,대전광역시
81109,301104000000.0,다복2길,0,대전광역시
81110,301104000000.0,다복2길,1,대전광역시
81111,301104000000.0,다복3길,0,대전광역시
81112,301104000000.0,다복3길,1,대전광역시
81113,301104000000.0,달기장1길,0,대전광역시
81114,301104000000.0,달기장1길,1,대전광역시
81115,301104000000.0,달기장1길,2,대전광역시
81116,301104000000.0,달기장2길,0,대전광역시
81117,301104000000.0,달기장2길,1,대전광역시
81118,301104000000.0,달기장3길,0,대전광역시
81119,301104000000.0,달기장3길,1,대전광역시
81120,301104000000.0,대동로20번길,0,대전광역시
81121,301104000000.0,대동로20번길,1,대전광역시
81122,301104000000.0,대동천우안1길,0,대전광역시
81123,301104000000.0,대동천우안1길,1,대전광역시
81124,301104000000.0,대동천우안1길,2,대전광역시
81125,301104000000.0,대동천우안2길,0,대전광역시
81126,301104000000.0,대동천우안2길,1,대전광역시
81127,301104000000.0,대동천우안3길,0,대전광역시
81128,301104000000.0,대동천우안3길,1,대전광역시
81129,301104000000.0,대동천우안4길,0,대전광역시
81130,301104000000.0,대동천우안4길,1,대전광역시
81131,301104000000.0,대동천우안4길,2,대전광역시
81132,301104000000.0,대동천우안5길,0,대전광역시
81133,301104000000.0,대동천우안5길,1,대전광역시
81134,301104000000.0,대동천우안5길,2,대전광역시
81135,301104000000.0,대동천우안5길,3,대전광역시
81136,301104000000.0,대동천좌안4길,0,대전광역시
81137,301104000000.0,대동천좌안4길,1,대전광역시
81138,301104000000.0,대동천좌안4길,2,대전광역시
81139,301104000000.0,대동천좌안4길,3,대전광역시
81140,301104000000.0,대동천좌안5길,0,대전광역시
81141,301104000000.0,대동천좌안5길,1,대전광역시
81142,301104000000.0,대동천좌안5길,2,대전광역시
81143,301104000000.0,대동초등1길,0,대전광역시
81144,301104000000.0,대동초등1길,1,대전광역시
81145,301104000000.0,대동초등2길,0,대전광역시
81146,301104000000.0,대동초등2길,1,대전광역시
81147,301104000000.0,대동초등3길,0,대전광역시
81148,301104000000.0,대동초등3길,1,대전광역시
81149,301104000000.0,대동초등4길,0,대전광역시
81150,301104000000.0,대동초등4길,1,대전광역시
81151,301104000000.0,대동초등5길,0,대전광역시
81152,301104000000.0,대동초등5길,1,대전광역시
81153,301104000000.0,대봉1길,0,대전광역시
81154,301104000000.0,대봉1길,1,대전광역시
81155,301104000000.0,대봉1길,2,대전광역시
81156,301104000000.0,대봉2길,0,대전광역시
81157,301104000000.0,대봉2길,1,대전광역시
81158,301104000000.0,대봉길,0,대전광역시
81159,301104000000.0,대봉길,1,대전광역시
81160,301104000000.0,대봉길,2,대전광역시
81161,301104000000.0,대성1길,0,대전광역시
81162,301104000000.0,대성1길,1,대전광역시
81163,301104000000.0,대성2길,0,대전광역시
81164,301104000000.0,대성2길,1,대전광역시
81165,301104000000.0,대성2길,2,대전광역시
81166,301104000000.0,대성길,0,대전광역시
81167,301104000000.0,대성길,1,대전광역시
81168,301104000000.0,대송길,0,대전광역시
81169,301104000000.0,대송길,1,대전광역시
81170,301104000000.0,대송길,2,대전광역시
81171,301104000000.0,대자양3길,0,대전광역시
81172,301104000000.0,대자양3길,1,대전광역시
81173,301104000000.0,대자양3길,2,대전광역시
81174,301104000000.0,대자양4길,0,대전광역시
81175,301104000000.0,대자양4길,1,대전광역시
81176,301104000000.0,대자양5길,0,대전광역시
81177,301104000000.0,대자양5길,1,대전광역시
81178,301104000000.0,대자양5길,2,대전광역시
81179,301104000000.0,대전로1002번길,0,대전광역시
81180,301104000000.0,대전로1002번길,1,대전광역시
81181,301104000000.0,대전로1020번길,0,대전광역시
81182,301104000000.0,대전로1020번길,1,대전광역시
81183,301104000000.0,대전로304번길,0,대전광역시
81184,301104000000.0,대전로304번길,1,대전광역시
